eps,target,algorithm,RMSE,CI_low (2.5%),CI_high (97.5%)
1/32,VaR,SA,0.0353,0.0248,0.0448
1/64,VaR,SA,0.0127,0.0093,0.0156
1/128,VaR,SA,0.0127,0.0094,0.0157
1/256,VaR,SA,0.0286,0.0179,0.0374
1/512,VaR,SA,0.0286,0.0178,0.0380
1/32,VaR,NSA,0.0774,0.0630,0.0902
1/64,VaR,NSA,0.0420,0.0350,0.0482
1/128,VaR,NSA,0.0246,0.0190,0.0297
1/256,VaR,NSA,0.0313,0.0174,0.0427
1/512,VaR,NSA,0.0288,0.0183,0.0383
1/32,VaR,MLSA,1.1051,1.0568,1.1493
1/64,VaR,MLSA,1.3190,1.2885,1.3450
1/128,VaR,MLSA,1.6420,1.6326,1.6510
1/256,VaR,MLSA,1.6190,1.6112,1.6267
1/512,VaR,MLSA,1.5704,1.5674,1.5737
1/32,ES,SA,0.0469,0.0367,0.0567
1/64,ES,SA,0.0184,0.0139,0.0224
1/128,ES,SA,0.0184,0.0144,0.0222
1/256,ES,SA,0.0379,0.0276,0.0472
1/512,ES,SA,0.0379,0.0269,0.0470
1/32,ES,NSA,0.1038,0.0840,0.1204
1/64,ES,NSA,0.0516,0.0444,0.0588
1/128,ES,NSA,0.0304,0.0243,0.0362
1/256,ES,NSA,0.0369,0.0236,0.0485
1/512,ES,NSA,0.0373,0.0273,0.0465
1/32,ES,MLSA,8.5095,7.5477,9.5092
1/64,ES,MLSA,8.3519,7.4883,9.2256
1/128,ES,MLSA,7.1488,6.6221,7.6582
1/256,ES,MLSA,6.3065,6.0258,6.5803
1/512,ES,MLSA,5.2814,5.1901,5.3931
