eps,target,algorithm,bias,var,bias^2,RMSE^2
1/32,VaR,SA,+0.0020,0.0012,0.0000,0.0012
1/64,VaR,SA,+0.0016,0.0002,0.0000,0.0002
1/128,VaR,SA,+0.0016,0.0002,0.0000,0.0002
1/256,VaR,SA,+0.0049,0.0008,0.0000,0.0008
1/512,VaR,SA,+0.0049,0.0008,0.0000,0.0008
1/32,VaR,NSA,+0.0700,0.0011,0.0049,0.0060
1/64,VaR,NSA,+0.0392,0.0002,0.0015,0.0018
1/128,VaR,NSA,+0.0203,0.0002,0.0004,0.0006
1/256,VaR,NSA,+0.0123,0.0008,0.0002,0.0010
1/512,VaR,NSA,+0.0079,0.0008,0.0001,0.0008
1/32,VaR,MLSA,-1.1001,0.0109,1.2102,1.2211
1/64,VaR,MLSA,-1.3174,0.0044,1.7355,1.7399
1/128,VaR,MLSA,-1.6418,0.0005,2.6956,2.6961
1/256,VaR,MLSA,-1.6189,0.0003,2.6208,2.6211
1/512,VaR,MLSA,-1.5704,0.0001,2.4662,2.4662
1/32,ES,SA,-0.0036,0.0022,0.0000,0.0022
1/64,ES,SA,-0.0014,0.0003,0.0000,0.0003
1/128,ES,SA,-0.0014,0.0003,0.0000,0.0003
1/256,ES,SA,-0.0080,0.0014,0.0001,0.0014
1/512,ES,SA,-0.0080,0.0014,0.0001,0.0014
1/32,ES,NSA,+0.0951,0.0017,0.0090,0.0108
1/64,ES,NSA,+0.0485,0.0003,0.0024,0.0027
1/128,ES,NSA,+0.0244,0.0003,0.0006,0.0009
1/256,ES,NSA,+0.0034,0.0013,0.0000,0.0014
1/512,ES,NSA,-0.0028,0.0014,0.0000,0.0014
1/32,ES,MLSA,+8.2597,4.1897,68.2224,72.4122
1/64,ES,MLSA,+8.0874,4.3474,65.4064,69.7538
1/128,ES,MLSA,+7.0496,1.4082,49.6966,51.1048
1/256,ES,MLSA,+6.2748,0.3996,39.3729,39.7725
1/512,ES,MLSA,+5.2770,0.0467,27.8470,27.8937
