target,algorithm,eps,mean_time,RMSE
VaR,SA,1/32,0.3684,0.0341
VaR,SA,1/64,2.7658,0.0128
VaR,SA,1/128,2.5871,0.0128
VaR,SA,1/256,2.2812,0.0128
VaR,SA,1/512,1.0286,0.0128
VaR,NSA,1/32,0.5451,0.0816
VaR,NSA,1/64,3.2020,0.0379
VaR,NSA,1/128,3.2645,0.0220
VaR,NSA,1/256,12.1997,0.0154
VaR,NSA,1/512,11.4367,0.0135
VaR,MLSA,1/32,0.1674,0.0996
VaR,MLSA,1/64,0.3503,0.0559
VaR,MLSA,1/128,0.8920,0.0410
VaR,MLSA,1/256,2.1694,0.0347
VaR,MLSA,1/512,3.5464,0.0275
ES,SA,1/32,0.3702,0.0468
ES,SA,1/64,2.6783,0.0177
ES,SA,1/128,2.6539,0.0177
ES,SA,1/256,2.5622,0.0177
ES,SA,1/512,0.9913,0.0177
ES,NSA,1/32,0.5322,0.1100
ES,NSA,1/64,3.0075,0.0510
ES,NSA,1/128,3.3787,0.0292
ES,NSA,1/256,8.5586,0.0206
ES,NSA,1/512,7.9151,0.0183
ES,MLSA,1/32,0.1491,0.1226
ES,MLSA,1/64,0.3609,0.0664
ES,MLSA,1/128,0.9195,0.0408
ES,MLSA,1/256,1.8903,0.0265
ES,MLSA,1/512,3.4061,0.0191
